# Components patches published on base 1452 added, from every .msp on the update bucket
# ComponentId	Component	File	Feature	FirstShipped	LastShipped
{4ABB6A21-6F95-58B2-8C16-38B74CBD220F}	cmp87AFA172D4ED6657F2F23425A93039DC	FwAvalonia.resources.dll	Yoruba	9.3.11.2649	9.3.12.2760
{4B40E5CB-30D5-5677-A13C-F62EB4A6C9EF}	cmp186CD5D44F2C490314A17B8B12F1E458	FwAvalonia.resources.dll	Chinese	9.3.11.2649	9.3.12.2760
{55F6DA1E-A17F-5608-88B9-61512E42CDF8}	cmp79796BEE4D10F8D4A1A7E3E37CA2F4A1	FwAvalonia.resources.dll	Korean	9.3.11.2649	9.3.12.2760
{6E063CEC-98DE-598E-80D4-4708FCA0B412}	cmp6830D5813172E2AB5E8303BEE2E0D6B6	FwAvalonia.resources.dll	Russian	9.3.11.2649	9.3.12.2760
{794FB841-8C1A-502E-88DA-2E32D9296248}	cmp3F935CA18EB62F02F358BBE9FDED913A	FwAvalonia.resources.dll	Khmer	9.3.11.2649	9.3.12.2760
{7997DB88-EE95-5A10-8CF7-DC77008DC0AC}	cmp0F87125353CEA8E8B6313529DD7C6BD6	FwAvalonia.resources.dll	Nepali	9.3.11.2649	9.3.12.2760
{7A5ED619-AA06-5F23-944F-1279F28BCABB}	cmp7206F0E70BCBF954AE4922BFF706BB3E	FwAvalonia.resources.dll	Thai	9.3.11.2649	9.3.12.2760
{8A908B5D-2495-5A62-8808-ABC896FA4846}	cmp5E731BC4EE8DF18A3F911E4310268089	FwAvalonia.resources.dll	Bengali	9.3.11.2649	9.3.12.2760
{9C8D0766-C594-522A-B364-E73AF641AC0E}	cmp0A8A05DD0C9C50DC093C17291DF69487	FwAvalonia.resources.dll	Arabic	9.3.11.2649	9.3.12.2760
{A7530E25-7D26-5C02-849F-F1FC632EE39B}	cmpF8D6A786D009147E667F3BD4E45726BA	FwAvalonia.resources.dll	Telugu	9.3.11.2649	9.3.12.2760
{C2E15D6E-5AF8-563D-95F7-2BDC22918634}	cmpFAAF6F77C41BD26E21712EBD302909FC	FwAvalonia.resources.dll	Malayalam	9.3.11.2649	9.3.12.2760
{C3CD0E9D-6C19-5863-A3E3-D1577FB57C66}	cmp3AB81E523E57BB90F1BDB4311D8BDF4A	FwAvalonia.resources.dll	Hungarian	9.3.11.2649	9.3.12.2760
{CB6C07D2-C204-546F-890C-49AE15F6FE32}	cmp88CA64FE2DAD35DB3F64594BDF4BB4D6	FwAvalonia.resources.dll	Persian	9.3.11.2649	9.3.12.2760
{CC2F72DF-B827-5792-B766-B08667192EF5}	cmp340F48912B1B687BCD4BD984A600BB75	FwAvalonia.resources.dll	German	9.3.11.2649	9.3.12.2760
{DD37BF7D-3A4E-5B2A-8798-4D596EFE60B8}	cmp25D6A9F9FFEDC837E8298EB5BB3F9B8B	FwAvalonia.resources.dll	Turkish	9.3.11.2649	9.3.12.2760
{E367A90A-C4A6-5896-B326-44C546900329}	cmp801B580FFEEAEF4B4D1F0E2135AB3F37	FwAvalonia.resources.dll	Indonesian	9.3.11.2649	9.3.12.2760
{E6B9C3BB-1AEE-5A2D-B322-031AF8E32FD0}	cmp3BFF24169B2639842124EDA8D54B6A60	FwAvalonia.resources.dll	Kinyarwanda	9.3.11.2649	9.3.12.2760
{E6FA6A1F-FC77-5110-A4BE-575606D2F057}	cmpB13758157B2FFEACC849C5CA49BD3E87	FwAvalonia.resources.dll	Tamil	9.3.11.2649	9.3.12.2760
{F554DE59-8F6E-53EE-B238-97924BED4754}	cmp945ABA08FFF1DB122D7B99A11C274AA7	FwAvalonia.resources.dll	Burmese	9.3.11.2649	9.3.12.2760
{2E1C86F7-F728-5D5E-BDCC-64FF868A46B5}	cmp92ECD687E7DEA3EA930AE1FA471F3062	FwAvaloniaDialogs.dll	Complete	9.3.11.2649	9.3.12.2760
{46FF9909-6F68-58B3-A907-0550222ACD29}	cmpF54565E87EF3FD52203F26835085A430	FwAvaloniaDialogs.dll.config	Complete	9.3.11.2649	9.3.12.2760
{F2BB0A37-FE52-53C8-8696-EBE0F4D47B97}	cmpCD1512CFB467FC5C896C997AA6D869DB	FwAvaloniaDialogs.pdb	Complete	9.3.11.2649	9.3.12.2760
{025484A1-AA3B-55C6-95C9-73ED057EC6E9}	cmp82D0BAE64C8AE203065262909273FD30	FwAvaloniaDialogs.resources.dll	Swahili	9.3.11.2649	9.3.12.2760
{096C45C2-0865-5070-AA31-CC96DF0D5B1C}	cmpD94D58DC6BF163351A6EFA6F601B0D6C	FwAvaloniaDialogs.resources.dll	Malayalam	9.3.11.2649	9.3.12.2760
{0EB6AB4E-F822-5500-997F-A9BE4856EDD4}	cmp1F15778C89D148F0DFD7CCD9BFEE602A	FwAvaloniaDialogs.resources.dll	German	9.3.11.2649	9.3.12.2760
{1D35E836-98AB-53E1-83C2-70BC05A2080D}	cmp229E2BA7226AE09E8C70783A6AE9ABFC	FwAvaloniaDialogs.resources.dll	Indonesian	9.3.11.2649	9.3.12.2760
{1D47C484-8E7C-547A-A735-349E27ED325C}	cmp47826A817F068F909056FE903637B0EA	FwAvaloniaDialogs.resources.dll	Burmese	9.3.11.2649	9.3.12.2760
{1D4C2AF2-1935-5C95-8222-7C00123A78C8}	cmp4A4AA69EF39D1241CB0C302CDC811063	FwAvaloniaDialogs.resources.dll	Malay	9.3.11.2649	9.3.12.2760
{1DBB57F5-5373-581C-A456-A9F845FF4874}	cmp26917791EA6C95E2841DBCBBEE622324	FwAvaloniaDialogs.resources.dll	Korean	9.3.11.2649	9.3.12.2760
{2D2E0509-0ED6-5178-8FA4-A2D5AD592ED1}	cmp01D0C349B81F490963ED6D773A0770FA	FwAvaloniaDialogs.resources.dll	Vietnamese	9.3.11.2649	9.3.12.2760
{37663C83-A7D4-5024-ACD5-C7B6C0C2B068}	cmp2BBC973D8DDF0B18438CA6A491393FE8	FwAvaloniaDialogs.resources.dll	Urdu	9.3.11.2649	9.3.12.2760
{49755DFC-89B1-593E-9E91-E388A48DE600}	cmpDCFF496901CBF45AD09A85AFCB24021A	FwAvaloniaDialogs.resources.dll	Turkish	9.3.11.2649	9.3.12.2760
{4D129082-FC11-56CA-B192-6B7566F4A34A}	cmp31824781D8DC1AEED4F3ABA81DE48FD6	FwAvaloniaDialogs.resources.dll	Azerbaijani	9.3.11.2649	9.3.12.2760
{50F3C03B-659A-5539-87FF-935A26F987C1}	cmpFD1E1A0F89D09757FD956A3DB67ADCD5	FwAvaloniaDialogs.resources.dll	Nepali	9.3.11.2649	9.3.12.2760
{53B372C4-1023-5014-A058-578E747D66D0}	cmpD443A7DFF977E28AC44D447D0E4ACA28	FwAvaloniaDialogs.resources.dll	Chinese	9.3.11.2649	9.3.12.2760
{64770BF4-4611-528B-B7FC-FC111E3716D8}	cmp4A898A1A999245077C43B9DE7492E771	FwAvaloniaDialogs.resources.dll	Tamil	9.3.11.2649	9.3.12.2760
{72531CD7-CC5E-533A-AF39-6D483D1ED03C}	cmp65F49F9673D480828B04BF10B610B57E	FwAvaloniaDialogs.resources.dll	Malay	9.3.11.2649	9.3.12.2760
{745A883C-E47D-59DF-952F-10AF51A18C74}	cmp6E086A438A2AACEF005D057CE578D9CB	FwAvaloniaDialogs.resources.dll	Bengali	9.3.11.2649	9.3.12.2760
{8321A3AA-69DB-589F-B83C-082377704A96}	cmp1F13154539E7DBB2EB8C18144FC5F348	FwAvaloniaDialogs.resources.dll	Spanish	9.3.11.2649	9.3.12.2760
{8628C43E-FEB8-5C6D-BB7C-AD7E8BA9FBC1}	cmp5D49E4ADE5C1736CEB872B432EDC90C3	FwAvaloniaDialogs.resources.dll	Telugu	9.3.11.2649	9.3.12.2760
